headline,date,url,source
La Administración Trump ha gastado más de 40 millones de dólares en fondos públicos en deportar migrantes a terceros países,2026-02-14,https://elpais.com/noticias/inmigracion/2/,immigration_topic
Grecia emite una orden de detención europea contra un activista noruego que documenta llegadas irregulares de migrantes,2026-02-13,https://elpais.com/noticias/inmigracion/2/,immigration_topic
La falta de acuerdo en el Senado de Estados Unidos para poner límites a la policía migratoria aboca al cierre de varias agencias de Seguridad Nacional,2026-02-13,https://elpais.com/noticias/inmigracion/2/,immigration_topic
El trauma que el ICE ha dejado en Minnesota: “Es una situación parecida al covid”,2026-02-13,https://elpais.com/noticias/inmigracion/2/,immigration_topic
Una jueza lee las amenazas de muerte que ha recibido por sostener el bloqueo al fin del TPS para Haití,2026-02-13,https://elpais.com/noticias/inmigracion/2/,immigration_topic
Un juez ordena al Gobierno de Trump regresar a los venezolanos deportados a El Salvador,2026-02-13,https://elpais.com/noticias/inmigracion/2/,immigration_topic
La mitad del crecimiento económico de España en los últimos tres años se explica por los trabajadores extranjeros,2026-02-12,https://elpais.com/noticias/inmigracion/2/,immigration_topic
Grecia endurece su política migratoria con una nueva ley que contempla cárcel para quienes salven vidas,2026-02-12,https://elpais.com/noticias/inmigracion/2/,immigration_topic
"Homan, ‘zar de la frontera’ de Trump, anuncia que la operación migratoria en Minnesota “ha concluido”",2026-02-12,https://elpais.com/noticias/inmigracion/2/,immigration_topic
Suiza votará en referéndum una iniciativa antiinmigración de la derecha populista para limitar la población a 10 millones,2026-02-12,https://elpais.com/noticias/inmigracion/2/,immigration_topic
"Jim Ratcliffe, dueño del Manchester United, declara que “el Reino Unido ha sido colonizado por inmigrantes” y recibe la reprimenda del primer ministro",2026-02-12,https://elpais.com/noticias/inmigracion/2/,immigration_topic
España supera por primera vez los 10 millones de habitantes nacidos en el extranjero,2026-02-12,https://elpais.com/noticias/inmigracion/2/,immigration_topic
"La ‘app’ de reconocimiento facial del ICE, en la mira por fallos y por amenazar un auge de la vigilancia estatal",2026-02-12,https://elpais.com/noticias/inmigracion/2/,immigration_topic
Últimas noticias,2026-02-12,https://elpais.com/noticias/inmigracion/2/,immigration_topic
Perseguido por Maduro y detenido por el ICE: el futuro incierto del exalcalde venezolano Carlos García,2026-02-12,https://elpais.com/noticias/inmigracion/3/,immigration_topic
