url,ministry,year,slug,date
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/180425-crece-ayuda-oficial-desarrollo.aspx,exteriores,2025,180425-crece-ayuda-oficial-desarrollo,2025-04-18
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/181125-albares-apoyo-ucrania.aspx,exteriores,2025,181125-albares-apoyo-ucrania,2025-11-18
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/181225-albares-andorra-ue.aspx,exteriores,2025,181225-albares-andorra-ue,2025-12-18
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/190125-entrada-vigor-alto-fuego-gaza.aspx,exteriores,2025,190125-entrada-vigor-alto-fuego-gaza,2025-01-19
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/190525-declaracion-ayuda-humanitaria-gaza.aspx,exteriores,2025,190525-declaracion-ayuda-humanitaria-gaza,2025-05-19
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/190825-accion-ayuda-humanitaria.aspx,exteriores,2025,190825-accion-ayuda-humanitaria,2025-08-19
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/190825-albares-negociaciones-ucrania.aspx,exteriores,2025,190825-albares-negociaciones-ucrania,2025-08-19
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/200425-albares-encuentro-ecuador.aspx,exteriores,2025,200425-albares-encuentro-ecuador,2025-04-20
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/200625-alabares-luxemburgo.aspx,exteriores,2025,200625-alabares-luxemburgo,2025-06-20
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/200825-alianzas-para-el-desarrollo-sostenible.aspx,exteriores,2025,200825-alianzas-para-el-desarrollo-sostenible,2025-08-20
